H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000006283	0.26	0.42	1.87	0.38	0.31	0.5	0.49	2.31	1.79	1.99	0.13	0.12
ENSG00000006327	0.22	0.13	0.1	0.09	0.11	0.07	0.14	0.1	0.09	0.13	0.09	0.09
ENSG00000006377	10.37	8.81	8.95	7.56	7.8	6.3	7.18	7.43	9.89	7.69	9.88	7.76
ENSG00000006432	0.11	0.06	0.09	0.09	0.07	0.1	0.07	0.09	0.14	0.08	0.21	0.14
ENSG00000006451	0.06	0.09	0.07	0.09	0.06	0.1	0.15	0.08	0.13	0.05	0.09	0.06
ENSG00000006453	0.07	0.1	0.05	0.06	0.05	0.05	0.05	0.05	0.05	0.05	0.08	0.04
ENSG00000006459	0.05	0.1	0.1	0.13	0.08	0.08	0.11	0.88	0.34	2.43	2.81	2.55
ENSG00000006468	0.07	0.13	0.07	0.05	0.11	0.03	0.04	0.07	0.05	0.09	0.04	0.06
ENSG00000006530	0.18	0.14	0.12	0.12	0.08	0.08	0.07	0.12	0.11	0.11	0.09	0.06
ENSG00000006534	0.07	0.04	0.05	0.08	0.06	0.04	0.04	0.05	0.04	0.03	0.03	0.04
ENSG00000006555	0.13	0.08	0.09	0.09	0.08	0.08	0.08	0.1	0.15	0.11	0.05	0.1
ENSG00000006576	0.07	0.09	0.11	0.09	0.1	0.11	0.12	0.05	0.09	0.07	0.06	0.16
ENSG00000006606	0.18	0.18	0.19	0.2	0.12	0.14	0.17	0.15	0.14	0.13	0.1	0.12
ENSG00000006607	0.1	0.09	0.07	0.12	0.13	0.14	0.06	0.17	0.15	0.21	0.1	0.07
ENSG00000006611	0.34	0.2	0.32	0.32	0.33	0.36	0.28	0.43	0.96	0.29	0.27	0.32
ENSG00000006625	1.9	2.65	1.41	2.14	2.71	0.25	2.33	1.29	1.88	1.02	0.15	0.17
ENSG00000006634	0.06	0.08	0.05	0.06	0.09	0.1	0.1	0.08	0.05	0.06	0.11	0.09
ENSG00000006638	0.11	0.04	0.06	0.07	0.04	0.05	0.05	0.05	0.06	0.11	0.06	0.2
ENSG00000006652	0.24	0.18	0.3	0.36	0.25	0.18	0.21	0.17	0.18	0.19	0.09	0.09
ENSG00000006659	0.12	0.16	0.27	0.21	0.18	0.13	0.28	0.2	0.29	0.38	2.77	2.71
ENSG00000006695	0.15	1.72	0.24	0.31	0.15	2.1	2.26	1.26	0.81	0.94	0.09	0.07
ENSG00000006704	4.3	2.9	3.6	2.11	3.73	4.7	5.96	8.2	6.94	7.54	0.29	0.1
ENSG00000006712	0.08	0.04	0.03	0.04	0.05	0.05	0.04	0.03	0.04	0.05	0.03	0.08
ENSG00000006715	0.16	0.24	0.21	0.14	0.17	0.12	0.26	0.11	0.2	0.25	0.33	0.25
ENSG00000006740	0.18	0.06	0.19	0.1	0.12	0.11	0.15	0.1	0.11	0.15	0.1	0.12
ENSG00000006744	0.08	0.09	0.06	0.05	0.06	0.05	0.07	0.1	0.07	0.11	0.08	0.04
ENSG00000006747	4.07	4.38	5.4	3.85	4.28	3.64	3.67	3.34	4.56	5.37	4.97	4.58
ENSG00000006756	9.02	11.87	11.7	8.73	11.53	11.26	11.92	9.6	12.43	12.5	8.99	6.58
ENSG00000006757	3.43	3.32	3.88	4.53	4.28	3.13	3.43	4.31	3.28	3.82	3.38	2.62
ENSG00000006788	0.17	0.54	0.22	0.29	0.29	0.38	0.21	0.23	0.26	0.25	0.24	0.38
ENSG00000006831	0.08	0.06	0.07	0.08	0.11	0.08	0.07	0.08	0.07	0.09	0.07	0.05
ENSG00000006837	0.2	0.21	0.22	0.24	0.2	0.26	0.18	0.17	0.22	0.2	0.11	0.15
ENSG00000007001	0.05	0.05	0.04	0.05	0.06	0.1	0.05	0.07	0.05	0.05	0.05	0.05
ENSG00000007038	0.12	0.11	0.09	0.1	0.07	0.09	0.12	0.09	0.12	0.06	0.07	0.05
ENSG00000007047	0.12	0.1	0.11	0.07	0.08	0.09	0.14	0.1	0.11	0.08	0.1	0.09
ENSG00000007062	13.59	10.59	10.76	10.51	9.42	8.89	11.13	8.89	8.66	11.58	11.45	11.78
ENSG00000007080	0.07	0.05	0.06	0.07	0.05	0.04	0.05	0.05	0.05	0.03	0.1	0.06
ENSG00000007129	0.13	0.16	0.08	0.06	0.08	0.08	0.09	0.08	0.13	0.07	0.1	0.12
ENSG00000007168	0.07	0.09	0.07	0.08	0.08	0.08	0.11	0.05	0.12	0.07	0.09	0.1
ENSG00000007171	0.13	0.07	0.09	0.1	0.07	0.08	0.07	0.07	0.08	0.08	0.1	0.12
ENSG00000007174	8.83	5.49	7.78	8.13	5.9	4.25	5.25	7.18	7.26	5.43	5.62	4.23
ENSG00000007202	0.03	0.03	0.05	0.06	0.04	0.03	0.03	0.05	0.03	0.08	0.08	0.05
ENSG00000007216	0.09	0.06	0.12	0.08	0.04	0.05	0.11	0.07	0.06	0.08	0.06	0.05
ENSG00000007237	5.84	5.97	6.96	6.71	5.67	5.36	5.32	4.17	4.05	2.86	4.59	7.66
ENSG00000007255	0.07	0.03	0.06	0.07	0.05	0.08	0.05	0.06	0.05	0.1	0.05	0.07
ENSG00000007264	0.08	0.1	0.08	0.06	0.06	0.05	0.08	0.06	0.07	0.05	0.08	0.07
ENSG00000007306	0.13	0.06	0.08	0.05	0.06	0.11	0.08	0.11	0.08	0.14	0.04	0.12
ENSG00000007312	0.04	0.07	0.06	0.06	0.04	0.03	0.03	0.05	0.04	0.07	0.09	0.07
ENSG00000007314	0.16	0.14	0.2	0.16	0.11	0.09	0.12	0.13	0.14	0.11	0.1	0.06
ENSG00000007341	0.09	0.06	0.06	0.04	0.06	0.1	0.08	0.04	0.07	0.1	0.09	0.08
ENSG00000007350	2.77	4.4	3.1	4.69	4.5	4.33	3.1	4.74	3.4	4.26	5.4	4.59
ENSG00000007372	15.29	12.62	13.46	14.35	14.36	12.76	14.32	13.35	15.28	14.68	13.29	13.04
ENSG00000007376	0.04	0.05	0.06	0.05	0.08	0.11	0.05	0.07	0.06	0.06	0.06	0.09
ENSG00000007384	0.04	0.03	0.04	0.03	0.03	0.05	0.02	0.04	0.03	0.03	0.03	0.09
ENSG00000007392	0.07	0.07	0.12	0.13	0.13	0.11	0.06	0.11	0.05	0.06	0.09	0.08
ENSG00000007402	0.07	0.05	0.09	0.05	0.06	0.05	0.07	0.05	0.08	0.08	0.1	0.15
ENSG00000007516	0.2	0.15	0.27	0.27	0.24	0.27	0.2	1.73	1.78	1.51	0.2	0.12
ENSG00000007520	0.09	0.06	0.1	0.11	0.07	0.06	0.04	0.03	0.09	0.07	0.06	0.1
ENSG00000007541	0.08	0.05	0.04	0.04	0.05	0.03	0.05	0.04	0.04	0.04	0.03	0.04
ENSG00000007545	0.27	0.1	0.32	0.31	0.32	0.39	0.18	2.1	2.72	3.12	3.09	0.28
ENSG00000007866	0.08	0.05	0.06	0.04	0.05	0.08	0.05	0.06	0.06	0.08	0.09	0.14
ENSG00000007908	0.12	0.17	0.17	0.13	0.19	0.15	0.23	0.12	0.1	0.11	0.16	0.26
ENSG00000007923	0.12	0.13	0.27	0.24	0.2	0.16	0.22	0.17	0.24	1.16	0.23	0.25
ENSG00000007933	0.14	0.1	0.1	0.13	0.11	0.08	0.18	0.08	0.08	0.06	0.12	0.08
ENSG00000007944	0.11	0.1	0.15	0.17	0.13	0.1	0.09	0.16	0.14	0.37	0.26	0.17
ENSG00000007952	0.11	0.09	0.09	0.14	0.14	0.14	0.13	0.1	0.11	0.13	0.12	0.15
ENSG00000007968	0.12	0.07	0.18	0.09	0.15	0.15	0.08	0.1	0.1	0.07	0.04	0.03
ENSG00000008018	0.05	0.05	0.06	0.07	0.08	0.05	0.03	0.05	0.04	0.05	0.05	0.13
ENSG00000008056	0.94	0.57	0.52	1.57	0.81	0.89	1.28	3.04	2.29	1.89	1.13	2.63
ENSG00000008083	0.06	0.14	0.12	0.07	0.08	0.06	0.09	0.09	0.08	0.06	0.09	0.07
ENSG00000008086	0.53	0.2	1.51	0.56	0.45	0.4	0.36	1.88	1.59	0.42	0.29	0.44
ENSG00000008118	2.2	0.2	0.33	0.34	0.27	0.25	0.17	0.39	0.29	0.28	0.31	0.22
ENSG00000008128	0.05	0.06	0.04	0.05	0.05	0.05	0.06	0.03	0.03	0.03	0.03	0.04
ENSG00000008130	0.04	0.03	0.04	0.03	0.02	0.02	0.03	0.06	0.04	0.04	0.06	0.05
ENSG00000008196	9.98	7.24	8.56	7.77	7.7	6.17	5.76	8.75	9.46	7.02	4.73	5.95
ENSG00000008197	2.5	1.08	1.59	2.48	1.37	2.67	1.3	1.66	2.42	2.2	1.55	3.34
ENSG00000008226	0.07	0.03	0.04	0.04	0.05	0.1	0.05	0.06	0.08	0.05	0.04	0.09
ENSG00000008256	0.13	0.14	0.08	0.07	0.1	0.1	0.06	0.09	0.11	0.12	0.08	0.07
ENSG00000008277	0.1	0.12	0.13	0.1	0.13	0.14	0.12	0.17	0.12	0.12	0.12	0.14
ENSG00000008282	2.21	2.75	3.89	2.35	0.61	0.61	0.43	1.49	2.16	0.34	0.11	0.12
ENSG00000008283	0.04	0.06	0.06	0.06	0.1	0.06	0.06	0.05	0.05	0.08	0.03	0.03
ENSG00000008294	0.06	0.08	0.1	0.11	0.08	0.08	0.04	0.06	0.1	0.07	0.07	0.1
ENSG00000008300	6.74	7.94	9.65	10.8	7.15	9.7	8.15	9.01	8.85	7.03	6.8	5.9
ENSG00000008311	0.06	0.07	0.06	0.05	0.04	0.05	0.03	0.04	0.06	0.06	0.07	0.08
ENSG00000008323	0.68	0.24	0.3	0.23	0.25	0.26	0.12	0.23	0.19	0.32	0.1	0.09
ENSG00000008324	0.04	0.04	0.04	0.04	0.05	0.03	0.05	0.03	0.05	0.06	0.04	0.06
ENSG00000008382	0.06	0.06	0.05	0.06	0.05	0.09	0.05	0.04	0.05	0.03	0.05	0.04
ENSG00000008394	0.32	0.31	0.3	0.24	0.25	0.21	0.28	0.28	0.43	0.55	0.45	0.63
ENSG00000008405	0.21	0.19	0.2	0.1	2.38	0.09	0.18	0.15	1.85	1.12	0.09	0.1
ENSG00000008438	0.24	0.17	0.12	0.25	0.11	0.22	0.2	0.14	0.14	0.21	0.17	0.16
ENSG00000008441	0.04	0.05	0.05	0.06	0.05	0.05	0.1	0.05	0.06	0.06	0.06	0.07
ENSG00000008513	0.06	0.05	0.08	0.07	0.07	0.08	0.07	0.08	0.07	0.16	0.14	0.32
ENSG00000008516	0.22	0.3	0.27	0.26	0.15	0.13	0.18	0.15	0.13	0.12	0.08	0.11
ENSG00000008517	0.18	0.09	0.16	0.15	0.2	0.18	0.19	0.15	0.17	0.2	0.13	0.12
ENSG00000008710	0.04	0.07	0.07	0.05	0.04	0.06	0.07	0.05	0.05	0.05	0.04	0.04
ENSG00000008735	0.63	0.26	2.57	2.37	2.94	2.6	0.22	0.5	0.53	2.66	0.74	0.94
ENSG00000008838	0.06	0.08	0.07	0.07	0.06	0.08	0.04	0.03	0.05	0.04	0.06	0.06
ENSG00000008853	0.04	0.05	0.04	0.04	0.04	0.05	0.05	0.05	0.07	0.07	0.02	0.05
ENSG00000008869	0.06	0.07	0.07	0.08	0.06	0.05	0.06	0.06	0.06	0.05	0.07	0.05
ENSG00000008952	0.1	0.19	0.15	0.12	0.11	0.12	3.42	0.17	3.17	3.49	3.9	2.36
ENSG00000008988	0.1	0.1	0.17	0.21	0.21	0.2	0.17	0.17	0.19	0.14	0.08	0.09
ENSG00000009307	0.24	0.23	0.96	0.13	0.22	0.31	0.32	0.27	0.2	0.33	0.35	0.26
ENSG00000009335	0.1	0.12	0.11	0.1	0.13	0.13	0.09	0.08	0.09	0.09	0.12	0.16
ENSG00000009413	0.07	0.07	0.05	0.1	0.1	0.06	0.11	0.09	0.08	0.06	0.05	0.11
ENSG00000009694	4.1	2.95	3.84	4.93	5.25	3.99	3.75	4.39	3.13	3.88	4.01	4.56
ENSG00000009709	1.08	0.45	2.88	3.08	0.92	2.45	0.72	0.78	3.13	4.34	4.68	2.76
ENSG00000009724	0.1	0.07	0.07	0.05	0.07	0.05	0.11	0.06	0.05	0.04	0.1	0.06
ENSG00000009765	0.19	0.18	0.12	0.21	0.27	0.23	0.16	0.12	0.18	0.17	0.28	0.18
ENSG00000009780	0.12	0.05	0.07	0.1	0.1	0.05	0.12	0.06	0.12	0.19	0.08	0.05
ENSG00000009790	0.2	0.21	0.28	0.24	0.25	0.1	0.18	0.21	0.22	0.1	0.09	0.11
ENSG00000009830	0.07	0.03	0.06	0.05	0.05	0.05	0.03	0.04	0.04	0.05	0.04	0.04
ENSG00000009844	0.23	0.14	0.14	0.18	0.19	0.1	0.21	0.13	0.13	0.12	0.14	0.07
