H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000008128	0.12	0.06	0.23	0.08	0.23	0.77	3.46	4.93	6.48	10.38	12.39	12.29
ENSG00000008130	29.56	25.56	25.36	27	28.94	26.59	24.39	25.68	22.05	21.76	18.6	17.5
ENSG00000008196	0.71	0.69	0.28	0.27	0.27	0.09	0.21	0.19	0.21	0.19	0.14	0.21
ENSG00000008197	0.03	0.06	0.02	0.06	0.03	0.07	0.06	0.04	0.06	0.05	0.05	0.03
ENSG00000008256	4.79	4.7	2.4	3.71	3.12	2.61	3.37	3.03	1.3	0.36	0.24	0.13
ENSG00000008282	8.33	7.48	7.88	5.81	6.15	5.6	4.43	5.42	6	1.82	0.39	0.44
ENSG00000008283	14.98	15.52	11.99	12.78	13.35	15.32	11.2	12.74	12.02	13.98	18.79	12.34
ENSG00000008294	0.13	0.06	0.15	0.03	0.12	0.1	0.13	1.43	0.25	1.99	3.04	0.38
ENSG00000008311	0.1	0.03	0.04	0.07	0.05	0.04	0.08	0.05	0.05	0.05	0.05	0.07
ENSG00000008324	0.28	0.77	0.48	0.29	0.2	0.28	0.68	0.46	0.26	0.24	1.96	0.47
ENSG00000008382	8.84	8.58	9.75	8.21	8.44	7.53	9.36	9.25	7.65	8.05	6.34	11.06
ENSG00000008405	0.07	0.02	0.04	0.05	0.04	0.04	0.05	0.05	0.05	0.03	0.02	0.04
ENSG00000008441	6.5	2.36	4.45	5.1	4.42	4.66	3.82	3.85	3.54	2.3	0.16	0.18
ENSG00000008513	12.65	15.32	17.18	21.53	22.62	23.81	20.69	19.38	18.23	17.8	20.14	17.89
ENSG00000008710	3.01	2.99	3.25	1	2.62	0.92	1.46	2.37	3.98	0.94	0.34	0.2
ENSG00000008838	16.39	17.35	19.01	24.63	22.32	25.45	21.83	20.83	24.33	19.9	13.7	12.55
ENSG00000008853	1.92	3.14	4.26	5.97	7.3	12.81	10.73	14.86	20.81	17.22	15.75	17.47
ENSG00000008869	3.51	2.11	3.35	2.91	2.77	3	1.06	1.24	0.7	1.27	4.84	3.8
ENSG00000008952	0.16	0.1	0.11	0.16	0.11	0.06	0.07	0.06	0.06	0.06	0.02	0.04
ENSG00000008988	0.04	0.04	0.04	0.05	0.1	0.03	0.05	0.06	0.07	0.08	0.9	0.15
