H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000009780	0.45	0.45	0.51	0.49	0.4	0.43	0.42	0.4	0.43	0.45	0.6	0.46
ENSG00000009790	0.31	0.42	0.32	0.33	0.32	0.35	0.43	0.57	0.36	0.39	0.26	0.29
ENSG00000009830	0.51	0.66	0.59	0.52	0.7	0.61	0.58	0.5	0.47	0.79	0.46	0.51
ENSG00000009844	0.28	0.3	0.21	0.31	0.28	0.28	0.26	0.25	0.31	0.42	0.33	0.5
ENSG00000009954	12.79	4.84	4.85	3.96	5.44	5.04	4.01	5.75	5.12	4.11	3.67	3.07
ENSG00000010017	0.22	0.58	2.19	0.36	3.34	3.04	1.35	0.67	1.79	4.27	2.21	2.56
ENSG00000010072	4.79	4.98	4.03	3.97	4.03	3.04	3.15	3.91	4.32	5.72	9.31	8.25
ENSG00000010165	0.24	0.16	0.33	0.26	0.2	0.2	0.17	0.35	0.25	0.39	0.46	0.5
ENSG00000010219	0.54	0.38	0.28	0.29	0.25	0.2	0.3	0.17	0.36	0.29	0.38	0.52
ENSG00000010244	0.39	0.23	0.31	0.47	0.39	0.26	0.32	0.4	0.38	0.27	0.38	0.27
ENSG00000010256	0.13	0.34	0.41	0.44	0.55	1.28	0.81	3.35	4.13	0.95	0.28	0.22
ENSG00000010270	0.14	0.12	0.13	0.18	0.14	0.14	0.16	0.16	0.12	0.19	0.09	0.19
ENSG00000010278	0.48	4.48	3.23	2.66	1.96	0.64	1.29	1	1.41	0.76	0.6	0.55
ENSG00000010292	0.34	0.22	0.27	0.41	0.37	0.26	0.4	0.2	0.44	0.22	0.45	0.33
ENSG00000010295	0.65	0.67	1.69	0.77	1.81	1.89	1.13	2.97	0.96	2.54	1.03	0.86
ENSG00000010318	3.09	2.44	3.12	3.68	2.76	2.89	3.02	2.6	3.45	1.84	2.26	3.04
ENSG00000010322	0.45	0.64	0.65	0.7	0.88	0.45	0.84	1.1	0.77	1.96	1.15	3.21
ENSG00000010327	4.88	9.52	11.62	18.55	20.92	21.35	33.39	20.52	22.89	17.17	16.97	15.73
ENSG00000010361	7.09	5.63	7.78	9.64	5.1	4.39	4.77	4.21	5.27	8.41	5.6	6.29
ENSG00000010404	0.21	4.62	0.43	3.31	0.7	6.91	3.17	2.06	3.14	10.51	0.34	1.43
ENSG00000010539	0.27	0.18	0.29	0.13	0.11	0.17	0.28	0.13	0.18	0.14	0.19	0.23
ENSG00000010610	5.37	2.96	3.18	2.26	0.82	1.55	0.79	0.64	0.75	0.83	1.04	2.12
ENSG00000010626	14.98	23.5	14.34	30.97	28.9	10.3	8.82	24.38	12.89	12.9	32.82	32.5
ENSG00000010671	4.55	6.67	8.46	5.39	4.36	6.4	5.01	4.08	4.26	3.33	2.49	4
