class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000006282	upregulation	NA	NA	NA	upregulation	yes	3.07056437985806	ns	12.0173	0.0815791842082	0.130963784324639	-0.370938341553027	0.235200186250751	0.405534995785076	0.621707732670935	0.0309087708541212	0.0683075273889692	stable
ENSG00000006451	high_expression	flat	cluster_3	bending	bending	yes	1.47418111308603	ns	7.4521	9.999900001e-06	1.77221798737652e-05	-0.461573596911908	0.130914905339149	0.27862355946816	0.740551730182737	0.00587317209453142	0.0194182208745013	stable
ENSG00000006459	upregulation	NA	NA	NA	upregulation	yes	1.47883126524552	ns	16.9461	0.210007899921	0.297786232803396	-0.338318883456947	0.282089406345654	0.455861930560596	0.741270728806728	0.00579993509285531	0.0192398678464863	stable
ENSG00000006530	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.551727389303764	significant	2.3099	9.999900001e-06	1.77221798737652e-05	0.685529387526528	0.0138642160710637	0.0639550278687262	-0.592384596185189	0.0423977946588673	0.0864425263962288	not_correlated
ENSG00000006534	upregulation	NA	NA	NA	upregulation	yes	8.37582030389782	significant	2.5156	9.999900001e-06	1.77221798737652e-05	0.902408346713736	5.90653629605486e-05	0.00201915147265724	0.0377534793454546	0.907267387874249	0.929520896424908	positively_correlated
ENSG00000006576	variable	variable	cluster_3	bending	bending	yes	1.01934516402011	ns	14.6436	0.533214667853	0.627541225686588	-0.0769597690464363	0.812094520320386	0.884875475215474	0.864642166600436	0.000283850034832717	0.00217358344877579	stable
ENSG00000006607	variable	variable	cluster_1	downregulation	downregulation	yes	1.07681420209248	significant	14.7876	0.0857791422086	0.137267140680562	-0.41745710909536	0.176937794230519	0.33877217159539	0.44521952146891	0.146946601120955	0.2296846573958	not_correlated
ENSG00000006625	downregulation	NA	NA	NA	downregulation	yes	3.25136932707355	ns	18.6644	1	1	-0.668872811256276	0.0173883936096372	0.0742706386624397	0.324984251517343	0.302679024619566	0.403268747230277	stable
ENSG00000006634	downregulation	NA	NA	NA	downregulation	yes	1.40666930872445	ns	5.7609	9.999900001e-06	1.77221798737652e-05	0.354017972738596	0.258903249226072	0.430698664186957	-0.764425164867007	0.00378716653089619	0.0140545216594502	stable
ENSG00000006695	variable	variable	cluster_1	downregulation	downregulation	yes	0.658957940813985	ns	11.2229	0.366076339237	0.460968010674786	-0.18574628284006	0.563275793446148	0.713435384605079	0.635897958277471	0.0262408503846675	0.0598141441053935	stable
ENSG00000006704	variable	variable	cluster_1	downregulation	downregulation	yes	2.42996386301097	significant	4.3419	9.999900001e-06	1.77221798737652e-05	0.559556835735901	0.0585257488061739	0.16420746433039	0.643184810212255	0.0240531255064891	0.055930001542049	not_correlated
ENSG00000006712	high_expression	flat	cluster_1	downregulation	downregulation	yes	4.93967864923747	ns	9.9116	9.999900001e-06	1.77221798737652e-05	-0.182603329260415	0.570013143333616	0.719799581847608	-0.618551748244578	0.0320230197895406	0.0703219520729301	stable
ENSG00000006715	variable	variable	cluster_2	upregulation	upregulation	yes	0.624853380755988	significant	2.84	9.999900001e-06	1.77221798737652e-05	0.785885534842627	0.00244269085080462	0.0210911908945818	0.396659838207435	0.201735834550431	0.293320300354171	positively_correlated
ENSG00000006744	high_expression	flat	cluster_1	downregulation	downregulation	yes	2.44792603518365	ns	10.6149	0.166338336617	0.246802816525224	-0.159450803160435	0.620602903390781	0.756786835873648	0.872945441535464	0.000209868478836748	0.00176431056286573	stable
