class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000005194	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.63000936329588	ns	9.7911	9.999900001e-06	1.3738516493924e-05	-0.0363652019655502	0.910665119586878	0.933307059649743	-0.681665797509455	0.0146298500796207	0.0461139620618371	stable
ENSG00000005206	variable	variable	cluster_1	downregulation	downregulation	yes	4.6044267877412	significant	3.243	9.999900001e-06	1.3738516493924e-05	0.665366982166379	0.0182067118554349	0.0424206338961077	0.70527257756002	0.0104046158691302	0.0359621112975581	positively_correlated
ENSG00000005238	variable	variable	cluster_2	upregulation	upregulation	yes	7.59409697821504	significant	6.1652	9.999900001e-06	1.3738516493924e-05	0.640723735452645	0.0247766085985556	0.0540837970551328	0.784498746055297	0.00251649108128539	0.0126372674167827	positively_correlated
ENSG00000005249	peaking	H006	NA	NA	peaking	yes	0.151372489782902	ns	6.8133	9.999900001e-06	1.3738516493924e-05	0.602204119653906	0.038260350039423	0.0769234406055768	0.583804913856001	0.0462641530728805	0.109667259815405	stable
ENSG00000005302	variable	variable	cluster_2	upregulation	upregulation	yes	2.90477162541465	significant	3.5118	9.999900001e-06	1.3738516493924e-05	0.622972092664591	0.0304702965447338	0.0639853403318697	0.579744759684984	0.0481778354709378	0.112627186592853	not_correlated
ENSG00000005379	downregulation	NA	NA	NA	downregulation	yes	4.56408085870044	ns	6.0213	9.999900001e-06	1.3738516493924e-05	0.288544640253347	0.363060947747616	0.463491284575985	0.699037688182925	0.0114183872706538	0.0383989702891442	stable
ENSG00000005381	peaking	H024	NA	NA	peaking	yes	2.8737003058104	ns	2.8358	9.999900001e-06	1.3738516493924e-05	0.859527603987026	0.000338626710402809	0.00188381655398844	0.936438392225777	7.33926549315316e-06	0.000183136530800938	stable
ENSG00000005436	variable	variable	cluster_1	downregulation	downregulation	yes	0.27514346614199	ns	8.9969	9.999900001e-06	1.3738516493924e-05	0.0484683689756266	0.881095190801691	0.911548313207527	-0.213237260527232	0.505777168075772	0.626612647141346	stable
ENSG00000005469	variable	variable	cluster_3	bending	bending	yes	0.391998574356233	ns	9.4805	9.999900001e-06	1.3738516493924e-05	-0.0281168901186809	0.930878974719638	0.948255382247738	0.496457232072445	0.100639334492761	0.191785755940239	stable
ENSG00000005471	variable	variable	cluster_1	downregulation	downregulation	yes	0.370428169781642	significant	5.8225	9.999900001e-06	1.3738516493924e-05	0.546460218801497	0.0660110760843673	0.118864388854948	0.445800200864261	0.146356812251137	0.252766375682155	not_correlated
ENSG00000005486	variable	variable	cluster_3	bending	bending	yes	2.27683393688567	ns	3.0712	9.999900001e-06	1.3738516493924e-05	0.202491381944727	0.527938746406482	0.619289550335405	0.815236837419062	0.00123221537145221	0.00771096306274158	stable
ENSG00000005700	variable	variable	cluster_2	upregulation	upregulation	yes	0.30967005967006	significant	3.5399	9.999900001e-06	1.3738516493924e-05	0.703459848559824	0.0106921610089945	0.0275795870141974	0.459414010841222	0.132963501012452	0.235249937332545	positively_correlated
ENSG00000005801	downregulation	NA	NA	NA	downregulation	yes	0.462632858300367	significant	2.3752	9.999900001e-06	1.3738516493924e-05	0.681586561622507	0.0146458710844012	0.0356243716916514	0.0124475550486992	0.96937367247946	0.979836753388762	positively_correlated
ENSG00000005810	variable	variable	cluster_1	downregulation	downregulation	yes	0.216064923557293	ns	2.6195	9.999900001e-06	1.3738516493924e-05	0.653842632220649	0.0210960118763607	0.0475371368742038	-0.197608847651559	0.538143249076397	0.654987807744361	stable
ENSG00000005812	variable	variable	cluster_3	bending	bending	yes	1.35272419257883	ns	9.6808	9.999900001e-06	1.3738516493924e-05	-0.285404303635961	0.368540891677941	0.469424425697117	0.626107144993624	0.0294023987446757	0.0779321986363331	stable
ENSG00000005844	upregulation	NA	NA	NA	upregulation	yes	0.432416996649406	significant	2.0307	9.999900001e-06	1.3738516493924e-05	0.918601614374969	2.45177871217948e-05	0.000295189126727887	0.769673472428204	0.0034162776040184	0.0159119776056094	positively_correlated
ENSG00000005882	variable	variable	cluster_2	upregulation	upregulation	yes	1.95174083230326	significant	4.627	9.999900001e-06	1.3738516493924e-05	0.705803332452355	0.0103215241313494	0.0268132339966596	-0.447257489219028	0.144883364877791	0.250765728294676	positively_correlated
ENSG00000005893	upregulation	NA	NA	NA	upregulation	yes	0.589264797078481	ns	6.3378	9.999900001e-06	1.3738516493924e-05	0.417285607656072	0.177134071625931	0.263924502708622	-0.255274549211482	0.423265681704166	0.552864508774633	stable
ENSG00000006007	upregulation	NA	NA	NA	upregulation	yes	2.12958097697823	ns	11.0459	0.335106648934	0.367998020225674	-0.479380855982359	0.114804330507478	0.186015015013328	0.979788966017132	2.56748206979349e-08	4.17084842358289e-06	stable
