class	time_point	hc	class2	final_class
ENSG00000041357	variable	variable	cluster_1	downregulation	downregulation
ENSG00000041802	variable	variable	cluster_1	downregulation	downregulation
ENSG00000041880	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000042088	downregulation	NA	NA	NA	downregulation
ENSG00000042317	upregulation	NA	NA	NA	upregulation
ENSG00000042429	variable	variable	cluster_1	downregulation	downregulation
ENSG00000042445	upregulation	NA	NA	NA	upregulation
ENSG00000042493	bending	H009	NA	NA	bending
ENSG00000042753	variable	variable	cluster_2	upregulation	upregulation
ENSG00000043093	high_expression	flat	cluster_3	bending	bending
ENSG00000043514	variable	variable	cluster_1	downregulation	downregulation
ENSG00000044090	moderate_expression	flat	cluster_3	bending	bending
ENSG00000044115	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000044446	variable	variable	cluster_1	downregulation	downregulation
ENSG00000044459	variable	variable	cluster_1	downregulation	downregulation
ENSG00000044524	downregulation	NA	NA	NA	downregulation
ENSG00000046647	moderate_expression	flat	cluster_3	bending	bending
ENSG00000046651	downregulation	NA	NA	NA	downregulation
ENSG00000047056	variable	variable	cluster_3	bending	bending
ENSG00000047188	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000047249	upregulation	NA	NA	NA	upregulation
ENSG00000047315	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000047346	variable	variable	cluster_3	bending	bending
ENSG00000047365	upregulation	NA	NA	NA	upregulation
ENSG00000047410	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000047578	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000047579	variable	variable	cluster_3	bending	bending
ENSG00000047644	variable	variable	cluster_3	bending	bending
ENSG00000048052	downregulation	NA	NA	NA	downregulation
ENSG00000048162	variable	variable	cluster_1	downregulation	downregulation
ENSG00000048392	upregulation	NA	NA	NA	upregulation
ENSG00000048471	variable	variable	cluster_3	bending	bending
ENSG00000048544	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000048707	moderate_expression	flat	cluster_3	bending	bending
ENSG00000048740	variable	variable	cluster_1	downregulation	downregulation
ENSG00000048828	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000048991	downregulation	NA	NA	NA	downregulation
ENSG00000049089	variable	variable	cluster_3	bending	bending
ENSG00000049167	downregulation	NA	NA	NA	downregulation
ENSG00000049239	variable	variable	cluster_3	bending	bending
ENSG00000049245	upregulation	NA	NA	NA	upregulation
ENSG00000049449	variable	variable	cluster_1	downregulation	downregulation
ENSG00000049541	variable	variable	cluster_1	downregulation	downregulation
ENSG00000049618	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000049656	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000049860	upregulation	NA	NA	NA	upregulation
ENSG00000049883	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000050130	variable	variable	cluster_2	upregulation	upregulation
ENSG00000050405	peaking	H072	NA	NA	peaking
ENSG00000051108	variable	variable	cluster_3	bending	bending
ENSG00000051128	variable	variable	cluster_2	upregulation	upregulation
ENSG00000051180	downregulation	NA	NA	NA	downregulation
ENSG00000051341	downregulation	NA	NA	NA	downregulation
ENSG00000051382	variable	variable	cluster_3	bending	bending
ENSG00000051523	variable	variable	cluster_2	upregulation	upregulation
ENSG00000051596	variable	variable	cluster_1	downregulation	downregulation
ENSG00000051825	variable	variable	cluster_1	downregulation	downregulation
ENSG00000052126	downregulation	NA	NA	NA	downregulation
ENSG00000052723	downregulation	NA	NA	NA	downregulation
ENSG00000052749	peaking	H006	NA	NA	peaking
ENSG00000052795	upregulation	NA	NA	NA	upregulation
ENSG00000052802	variable	variable	cluster_1	downregulation	downregulation
ENSG00000053372	variable	variable	cluster_1	downregulation	downregulation
ENSG00000053501	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000053747	variable	variable	cluster_1	downregulation	downregulation
ENSG00000053918	bending	H009	NA	NA	bending
ENSG00000054116	high_expression	flat	cluster_3	bending	bending
ENSG00000054118	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000054219	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000054282	variable	variable	cluster_2	upregulation	upregulation
ENSG00000054523	variable	variable	cluster_3	bending	bending
ENSG00000054611	variable	variable	cluster_3	bending	bending
ENSG00000054654	downregulation	NA	NA	NA	downregulation
ENSG00000054793	variable	variable	cluster_1	downregulation	downregulation
ENSG00000054965	variable	variable	cluster_2	upregulation	upregulation
ENSG00000054967	variable	variable	cluster_3	bending	bending
ENSG00000054983	upregulation	NA	NA	NA	upregulation
ENSG00000055044	downregulation	NA	NA	NA	downregulation
ENSG00000055070	high_expression	flat	cluster_1	downregulation	downregulation
