ENSG00000144724.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000054148.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000104976.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000198482.10 	H012;H048
ENSG00000110697.12 	H000;H003;H006;H009;H012;H024;H036;H048;H072
ENSG00000087116.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000268988.1 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000187773.8 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000232030.3 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H120;H168
ENSG00000163714.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000117394.19 	H048
ENSG00000064652.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000125084.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000172748.12 	H003;H009;H012;H024;H036;H048;H072
ENSG00000147604.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000120833.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000007129.17 	H048;H072;H120;H168
ENSG00000153094.21 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000133131.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000138303.17 	H120;H168
ENSG00000124145.6 	H000;H003;H006;H009;H012;H024;H036;H048;H072;H120;H168
ENSG00000183807.7 	H018;H048
ENSG00000124469.10 	H120;H168
ENSG00000167264.17 	H000
ENSG00000109576.13 	H168
ENSG00000268089.2 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000115414.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000101400.5 	H120;H168
ENSG00000127588.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000100142.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000160216.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000123388.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000166159.10 	H036;H048;H072;H120;H168
ENSG00000100288.19 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000177519.3 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000105048.16 	H000;H003;H009;H012;H036;H048;H072
ENSG00000042286.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000164651.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000177283.5 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000187821.8 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000185864.16 	H000;H003;H006;H009;H024;H036;H048;H072
ENSG00000049239.12 	H072;H120;H168
ENSG00000085185.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000129003.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000118985.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000166780.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000144802.11 	H000;H003;H006;H009;H012
ENSG00000103196.11 	H000;H003;H006;H009;H012;H024;H036;H048;H168
ENSG00000099256.18 	H012;H024;H036;H048;H072
ENSG00000071553.16 	H000;H003;H006;H009;H012;H024;H036;H048;H072;H120;H168
ENSG00000165359.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000008853.16 	H009;H012;H024;H048
ENSG00000176871.8 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000005302.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000137145.20 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000123364.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000063438.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000130827.6 	H003;H006;H009;H024;H036;H048;H072;H120;H168
ENSG00000122335.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000176058.11 	H000
ENSG00000261667.1 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000006459.10 	H009
ENSG00000116128.9 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000007384.15 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000185101.12 	H009;H024;H072;H120;H168
