H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000025434	0.21	0.18	0.24	0.24	0.3	0.17	0.17	0.14	0.19	0.15	0.72	1.31
ENSG00000025708	3.7	2.64	0.64	1.75	1.04	0.46	0.63	0.34	1.53	0.35	0.24	0.48
ENSG00000025770	5.85	7.25	12.02	12.01	10.74	8.18	8.25	6.54	10.85	7.01	7.01	8.15
ENSG00000025772	4.25	5.17	4.99	6.22	5.94	4.43	6.73	3.92	6.19	5.37	7.33	7.23
ENSG00000026025	13.02	15.73	15.35	13.71	14.39	18.11	16.51	13.94	13.72	16.18	21.36	19.41
ENSG00000026103	0.21	0.17	0.19	0.23	0.21	0.25	0.32	3.15	2.1	5.66	7.44	6.96
ENSG00000026297	5.99	4.67	5.64	5.16	6.58	7.44	8.06	8.71	8.73	9	8.56	8.43
ENSG00000026559	1.89	4.16	3.47	4.67	4.93	4.63	4.58	6.46	5.33	3.64	1.02	1.22
ENSG00000026751	0.18	0.13	0.16	0.13	0.18	0.15	0.15	0.15	0.17	0.24	1.01	0.27
ENSG00000027075	4.31	3.91	2.98	2.5	0.2	2.26	0.18	0.15	0.16	0.17	0.23	0.33
ENSG00000027697	4.64	3.54	3.87	3.73	3.76	4.21	3.95	3.62	6.04	8.2	11.06	12.22
ENSG00000028116	1.56	0.31	1.27	2.01	0.31	2.01	0.53	0.23	0.23	0.18	0.95	1.07
ENSG00000028137	4.25	3.87	2.59	3.64	5.04	5.14	5.79	7.41	11.82	23.3	27.33	28.72
ENSG00000028277	3.85	4.06	5.21	3.52	2.66	4.86	3.13	4.93	4.94	4.94	9.59	11.43
ENSG00000028310	8.61	12.96	10.71	14.46	13.54	10.83	11.6	10.84	11.6	9.13	6.97	5.73
ENSG00000028528	7.14	7.64	6.18	6.1	8.04	7.31	6.67	9.14	4.52	7.43	8.97	8.05
ENSG00000028839	4.89	4.58	4.8	4.31	6.15	4.21	5.57	5.12	1.9	3.58	6.84	6.04
ENSG00000029363	33.49	49.34	33.58	33.27	32.64	37.31	31.7	23.83	23.9	17.84	31.04	28.77
ENSG00000029364	2.71	0.45	4.06	2.25	3.69	3.1	3.58	0.56	3.76	5.79	5.74	5.17
ENSG00000029725	5.64	7.46	9.97	7.97	7.43	7.05	7.5	6.57	6.36	9.61	9.33	9.8
ENSG00000029993	1.98	4.94	2.47	0.57	0.79	0.57	1.01	0.44	0.35	0.33	0.23	0.23
ENSG00000030066	3.29	4.02	3.11	4.76	5.05	4.72	5.04	5.79	3.33	2.44	1.65	3.87
ENSG00000030110	4.02	2.28	3.15	4.29	4.63	2.88	3	0.7	3.28	3.23	0.96	0.44
