H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000008516	6.32	3.78	2.63	2.62	0.45	0.44	0.47	2.71	2.68	2.91	0.37	0.35
ENSG00000008517	0.08	0.08	0.06	0.06	0.1	0.07	0.1	0.1	0.13	0.21	0.15	0.15
ENSG00000008710	7.43	7.15	12.42	13.21	9	7.57	7.34	5.85	7.74	5.99	6.6	5.94
ENSG00000008735	3.7	5.42	2.18	0.82	2.77	1.22	0.97	4.38	2.94	1.09	0.19	0.16
ENSG00000008838	0.38	2.68	2.81	0.44	0.49	0.64	0.62	1.84	4.29	1.54	0.67	0.63
ENSG00000008853	6.97	6.84	6.86	5.11	6.6	4.3	5	5.17	6.76	6.56	8.9	3.68
ENSG00000008869	1.98	0.37	0.29	0.35	0.3	0.44	0.54	0.29	0.31	0.29	1.68	4.11
ENSG00000008952	8.17	6.95	6.58	6.42	8.32	6.55	6.37	6.82	4.86	5.38	8.28	8.32
ENSG00000008988	7.18	10.31	8.65	8.15	8.2	8.3	9.2	6.23	9.48	11.23	9.48	8.06
ENSG00000009307	17.97	22.24	19.18	17.56	19.67	22.27	19.7	14.53	15	17.43	19.9	17.62
ENSG00000009335	15.8	14.17	21.12	23.3	18	16.16	16.29	17.99	16.31	14.89	14.46	12.81
ENSG00000009413	3.64	6.26	3.41	3.62	5.47	4.85	5.83	5.07	3.66	2.66	5.09	5.39
ENSG00000009694	3.6	4.56	0.42	0.43	3.5	2.34	3.44	0.4	2.71	2.18	0.42	1.12
ENSG00000009709	14.58	12.7	11.94	10.85	7.66	10.44	8.1	12.79	10.37	11.39	2.82	0.26
ENSG00000009724	5.32	4.88	5.78	7.18	6.19	6.65	6.75	6.37	8.38	5.26	7.52	7.43
ENSG00000009765	0.21	0.26	0.23	0.24	0.23	0.22	0.15	0.23	0.25	0.2	0.17	0.19
ENSG00000009780	0.33	0.35	0.29	0.32	0.35	0.34	0.35	0.32	0.25	0.26	0.86	0.55
ENSG00000009790	0.24	0.18	0.13	0.19	0.18	0.44	3.91	2.92	3.7	2.01	3.06	1.17
ENSG00000009830	0.42	0.47	1.83	3.45	3.34	2.81	3.64	3.9	2.34	1.9	0.86	0.36
ENSG00000009844	6.05	5.58	5.02	4.9	7.11	6.85	5.88	5.27	5.98	4.78	9.22	8.06
ENSG00000009950	2.03	0.59	0.44	2.94	0.59	2.8	0.6	2.29	3.77	3.36	0.25	0.15
ENSG00000009954	12.58	12.08	12.61	14.56	14.94	14.63	14.06	11.62	9.02	4.85	7.84	7.39
