H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000015153	0.06	0.1	0.06	0.06	0.05	0.07	0.06	0.06	0.06	0.05	0.06	0.05
ENSG00000015285	0.08	0.06	0.08	0.07	0.06	0.08	0.08	0.09	0.09	0.13	0.12	0.22
ENSG00000015413	0.07	0.07	0.16	0.06	0.05	0.05	0.07	0.07	0.06	0.23	0.28	0.3
ENSG00000015475	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.03	0.03	0.02
ENSG00000015479	0.07	0.06	0.06	0.06	0.06	0.06	0.06	0.05	0.06	0.04	0.04	0.05
ENSG00000017260	0.05	0.06	0.05	0.05	0.08	0.06	0.05	0.05	0.04	0.06	0.07	0.07
ENSG00000017483	0.12	0.08	0.07	0.07	0.06	0.06	0.06	0.07	0.06	0.08	0.12	0.14
ENSG00000018189	0.1	0.12	0.2	0.08	0.1	0.13	0.1	0.08	0.09	0.09	0.34	0.21
ENSG00000018280	0.07	0.04	0.05	0.05	0.05	0.04	0.05	0.05	0.05	0.05	0.05	0.03
ENSG00000018510	0.07	0.11	0.07	0.09	0.08	0.07	0.09	0.06	0.08	0.06	0.04	0.08
ENSG00000018610	0.05	0.04	0.05	0.05	0.05	0.06	0.05	0.05	0.05	0.06	0.06	0.04
ENSG00000018699	0.35	0.26	0.27	0.26	0.28	0.29	0.33	0.21	0.17	0.25	0.32	0.35
ENSG00000019144	0.04	0.04	0.05	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.05	0.05
ENSG00000019169	0.05	0.05	0.05	0.04	0.04	0.03	0.05	0.04	0.04	0.06	0.17	0.3
ENSG00000019582	0.04	0.04	0.05	0.03	0.03	0.04	0.04	0.05	0.04	0.02	0.03	0.03
ENSG00000019991	0.08	0.11	0.21	0.09	0.13	0.09	0.16	0.12	0.11	0.09	0.07	0.07
ENSG00000019995	0.05	0.07	0.05	0.06	0.05	0.05	0.06	0.05	0.04	0.05	0.05	0.04
ENSG00000020256	0.34	0.18	0.39	0.36	0.34	0.32	0.2	0.28	0.29	0.26	0.23	0.2
ENSG00000020426	0.11	0.1	0.21	0.1	0.12	0.15	0.16	0.09	0.22	0.1	0.28	0.14
ENSG00000020577	0.43	0.25	0.34	0.3	0.37	0.38	0.39	0.45	0.35	0.38	0.38	0.34
ENSG00000020922	0.04	0.05	0.05	0.05	0.05	0.05	0.03	0.05	0.04	0.05	0.05	0.05
ENSG00000021300	0.05	0.04	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.03
ENSG00000021355	0.26	0.28	0.31	0.1	0.32	0.16	0.11	0.29	0.11	0.11	0.12	0.08
ENSG00000021574	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.03	0.03	0.02
ENSG00000021776	0.17	0.28	0.27	0.31	0.48	0.34	0.3	0.27	0.21	0.27	0.24	0.31
ENSG00000022267	0.14	0.3	0.08	0.11	0.11	0.1	0.11	0.11	0.13	0.13	0.3	0.25
ENSG00000022277	0.05	0.05	0.03	0.04	0.04	0.04	0.05	0.05	0.1	0.18	0.29	0.37
ENSG00000022567	0.32	0.43	0.53	0.66	0.5	0.4	0.55	0.52	0.54	0.46	0.42	0.15
ENSG00000022976	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.03
ENSG00000023171	0.08	0.06	0.08	0.06	0.07	0.06	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000023191	0.04	0.05	0.06	0.05	0.05	0.04	0.04	0.05	0.06	0.05	0.06	0.03
ENSG00000023287	0.12	0.18	0.11	0.12	0.14	0.15	0.14	0.1	0.1	0.11	0.17	0.21
ENSG00000023318	0.02	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04
ENSG00000023330	0.04	0.04	0.03	0.04	0.04	0.03	0.03	0.04	0.04	0.04	0.05	0.05
ENSG00000023516	0.1	0.33	0.08	0.3	0.31	0.36	0.41	0.32	0.32	0.27	0.12	0.15
ENSG00000023608	0.07	0.07	0.08	0.06	0.08	0.08	0.07	0.07	0.06	0.05	0.04	0.03
ENSG00000023734	0.03	0.03	0.04	0.04	0.04	0.05	0.03	0.03	0.03	0.03	0.04	0.03
ENSG00000023892	0.06	0.05	0.05	0.06	0.05	0.06	0.06	0.07	0.07	0.07	0.07	0.05
ENSG00000023902	0.07	0.05	0.07	0.07	0.06	0.07	0.06	0.06	0.06	0.06	0.08	0.09
ENSG00000024048	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.05
ENSG00000024526	0.06	0.06	0.05	0.04	0.07	0.06	0.05	0.05	0.05	0.04	0.04	0.04
ENSG00000024862	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02
ENSG00000025039	0.02	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.02
ENSG00000025156	0.05	0.06	0.05	0.05	0.04	0.06	0.06	0.05	0.04	0.05	0.05	0.07
ENSG00000025293	0.08	0.07	0.07	0.07	0.07	0.08	0.07	0.06	0.06	0.07	0.06	0.07
ENSG00000025434	0.04	0.06	0.04	0.04	0.03	0.05	0.03	0.03	0.03	0.04	0.03	0.03
ENSG00000025708	0.42	0.26	0.38	0.36	0.39	0.39	0.38	0.46	0.55	0.75	0.52	0.43
ENSG00000025770	0.05	0.03	0.06	0.04	0.03	0.04	0.03	0.05	0.06	0.05	0.04	0.04
ENSG00000025772	0.04	0.06	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.05	0.03	0.03
ENSG00000026025	0.03	0.07	0.06	0.06	0.06	0.05	0.07	0.06	0.06	0.06	0.06	0.05
ENSG00000026103	0.03	0.04	0.03	0.04	0.04	0.03	0.04	0.04	0.03	0.05	0.05	0.04
ENSG00000026297	0.05	0.05	0.05	0.05	0.05	0.04	0.03	0.05	0.05	0.06	0.04	0.05
