gene_id	H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000144357.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000181751.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000115762.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000111962.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000197903.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000117676.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000130724.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000157326.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000113194.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000105619.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000104408.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000184677.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000137216.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000125755.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000184005.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000165675.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000163584.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000072135.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000180694.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000091009.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000119523.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000102893.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000134070.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000173153.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000130881.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000115685.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000145388.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000171314.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000059378.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000188559.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000005882.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000114054.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000117305.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000152778.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000185000.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000203812.2 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000170899.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000147133.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000120915.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000205808.5 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000067057.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000280575.1 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000116521.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000180822.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000161267.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000115884.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000188542.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000106976.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000184967.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000165775.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000164733.20 	1	1	1	1	1	1	1	1	1	1	1	1
