H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168	tHMM_pf
Peak101005	2	2	2	2	2	2	2	2	2	4	2	2	7
Peak1010061	2	2	2	2	2	2	2	2	2	2	1	1	7
Peak1010243	4	4	4	2	2	4	2	2	2	1	1	1	7
Peak1010434	1	1	1	1	1	1	2	2	2	2	2	2	5
Peak101044	1	2	2	2	2	2	2	2	2	2	2	2	4
Peak101047	4	4	4	4	2	2	2	2	2	1	1	1	4
Peak101048	4	4	4	4	4	4	2	2	2	2	1	1	4
Peak101049	4	4	4	4	4	4	4	2	2	2	2	2	3
Peak1010503	6	6	6	6	6	6	6	6	6	5	5	5	6
Peak1010504	6	6	6	6	6	6	6	6	5	5	5	5	6
Peak1010603	1	2	4	4	4	4	4	4	4	4	2	2	3
Peak1010604	1	4	4	4	4	4	4	4	4	4	2	2	3
Peak1010605	1	2	4	4	4	4	4	4	4	4	2	2	3
Peak1011015	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1011296	4	4	2	2	2	2	2	2	2	2	1	1	7
Peak1011297	4	4	4	2	2	2	2	2	2	2	1	1	4
Peak1011306	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1011332	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1011493	1	2	1	1	1	1	1	1	2	2	2	2	5
Peak1011495	4	4	4	4	4	4	2	2	2	2	2	2	4
Peak1011553	3	6	6	6	6	6	6	6	6	6	6	6	4
Peak101182	4	4	4	4	4	2	2	2	2	2	4	4	4
Peak101183	4	4	4	4	4	2	2	2	2	2	2	4	4
Peak1011863	2	2	2	4	4	4	4	4	4	4	4	4	2
Peak1011864	2	2	2	4	4	4	4	4	4	4	4	4	2
Peak1011952	1	1	1	1	1	1	2	2	2	2	2	2	5
Peak101204	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak101205	5	5	5	5	5	5	4	4	4	4	4	4	6
Peak1012109	2	3	3	3	3	3	2	2	2	3	3	3	7
Peak1012155	5	5	5	5	4	4	4	2	2	2	2	2	4
Peak1012156	5	5	5	5	4	4	4	4	2	2	2	2	3
Peak1012157	5	5	5	5	4	4	4	4	2	2	2	2	3
Peak1012158	5	5	5	4	4	4	4	2	2	2	2	2	4
Peak1012178	4	4	4	4	4	2	2	2	2	2	1	1	4
Peak1012247	4	4	4	4	4	4	4	4	4	4	4	2	3
Peak1012248	5	4	4	4	4	4	4	4	4	4	4	2	3
Peak1012260	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak1012317	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1012331	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1012350	5	4	4	4	4	4	4	2	2	2	2	2	3
Peak1012353	4	4	4	4	4	4	4	4	2	2	2	2	3
Peak1012354	4	4	4	4	4	4	4	4	2	2	2	2	3
Peak1012374	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak101238	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak101239	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak1012418	4	4	4	4	2	2	2	2	2	1	1	1	4
Peak101252	4	4	4	4	4	4	4	2	2	2	2	2	3
Peak1012537	1	2	4	4	4	4	4	4	2	2	2	2	3
Peak1012551	2	2	2	2	2	2	2	2	2	2	1	1	7
Peak1012622	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1012659	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak1012660	4	4	4	4	4	4	4	4	2	2	2	2	3
Peak1012699	4	4	4	4	4	2	2	2	2	2	2	2	4
Peak101272	2	2	2	2	4	2	2	2	2	4	4	2	7
Peak1012760	4	4	4	4	4	4	4	2	2	2	1	1	3
Peak1012804	4	4	4	4	4	2	4	4	4	4	4	4	3
Peak1012819	4	4	4	4	4	4	4	2	2	2	1	1	3
Peak101290	5	5	4	4	4	4	4	4	4	4	4	4	3
Peak101291	5	5	4	4	4	4	4	4	4	4	4	4	3
Peak1012978	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak101322	2	2	2	2	2	2	4	4	4	5	4	4	2
Peak101323	2	2	2	2	2	2	4	4	4	5	4	4	2
Peak101324	2	2	2	2	2	4	4	4	4	5	4	4	2
Peak1013268	3	3	3	3	3	3	3	2	2	4	4	4	1
Peak1013269	3	3	3	3	3	3	3	2	2	4	4	4	1
Peak1013270	3	3	3	3	3	3	2	2	2	4	4	4	1
Peak1013298	4	4	4	4	4	4	4	4	4	4	4	2	3
Peak1013316	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak1013317	4	4	4	4	4	2	2	4	4	2	2	2	3
Peak1013319	4	4	4	4	4	4	4	4	4	4	4	2	3
Peak1013320	4	4	4	4	4	4	4	4	5	5	4	4	3
Peak1013350	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak1013374	3	3	3	3	3	3	3	3	3	6	6	6	5
Peak1013375	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak1013394	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak1013415	4	4	4	4	5	4	4	4	4	4	4	4	3
Peak1013511	4	2	2	2	2	2	4	4	4	4	4	4	2
Peak1013624	3	3	3	3	3	3	3	3	3	6	6	6	6
Peak1013625	6	6	6	3	3	6	6	6	6	6	6	6	2
Peak1013626	3	3	3	3	3	3	3	3	6	6	6	6	2
Peak1013650	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak1013651	2	2	2	2	2	4	4	4	4	4	4	2	2
Peak1013652	2	2	2	2	2	2	2	2	2	2	1	1	7
Peak101403	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak101408	4	4	4	4	4	4	4	2	2	2	2	2	3
Peak1014200	3	3	3	3	3	4	3	3	3	3	3	3	3
Peak1014201	3	3	3	4	4	4	3	3	3	3	3	3	3
Peak101427	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1014338	2	2	2	2	4	4	4	4	4	4	4	4	2
Peak101435	4	4	4	4	4	4	4	4	4	4	4	2	3
Peak101437	5	4	4	4	4	4	5	5	5	5	4	4	6
Peak101441	5	5	4	4	5	5	5	5	5	5	5	5	6
Peak101451	2	2	2	2	2	2	4	2	2	4	4	4	2
Peak1014518	5	5	5	5	5	5	5	5	3	3	3	3	6
Peak1014519	5	5	5	5	5	5	5	5	5	3	3	3	6
Peak101461	1	1	1	1	1	2	2	2	4	4	4	4	1
Peak1014628	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak1014629	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak101464	1	1	1	1	2	2	2	2	2	4	4	2	1
Peak1014808	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1014809	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1014810	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1014870	4	4	4	2	2	2	2	2	4	4	4	2	4
Peak1014893	2	2	4	4	4	4	4	2	2	2	2	2	3
Peak101496	4	4	4	4	4	4	4	2	2	2	2	2	4
Peak1014974	1	2	2	2	4	4	4	4	4	4	4	4	2
Peak1014975	1	2	4	4	4	4	5	5	5	4	4	4	6
Peak1014984	1	1	1	1	1	1	1	2	4	4	4	4	1
Peak1014985	1	1	1	1	1	1	2	2	4	4	4	4	1
Peak1015009	1	1	1	1	1	1	1	1	2	4	4	4	1
Peak101501	4	4	4	4	4	4	4	2	2	2	2	2	3
Peak1015045	3	3	3	3	3	3	3	3	3	6	6	6	4
Peak1015046	3	3	3	3	3	3	3	3	3	6	6	6	3
Peak1015047	3	3	3	3	3	3	3	3	3	6	6	6	5
Peak1015048	3	3	3	3	3	3	3	6	6	6	6	6	7
Peak1015049	3	3	3	3	3	3	3	3	3	6	6	6	4
Peak1015050	3	3	3	3	3	3	3	3	3	6	6	6	3
Peak1015079	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1015416	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak1015417	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak1015418	5	3	5	5	5	4	4	4	4	4	4	4	2
Peak1015429	1	1	1	1	2	2	2	2	2	2	2	2	4
Peak1015531	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1015608	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1015661	5	5	5	5	5	5	5	5	5	4	3	3	6
Peak1015662	5	5	5	5	5	5	5	5	5	5	3	3	6
Peak1015663	5	5	5	5	5	5	5	5	5	5	3	3	6
Peak1015664	5	5	5	5	5	5	5	5	5	4	3	3	6
Peak1015714	6	6	6	6	6	6	6	6	3	3	3	3	6
Peak1015715	6	6	6	6	6	6	6	6	3	3	3	3	5
Peak1015716	6	6	6	6	6	6	6	6	3	3	3	3	2
Peak1015729	2	2	2	2	2	2	2	2	2	2	3	3	7
Peak1015801	2	2	2	2	4	4	4	4	4	4	4	4	2
Peak1016000	3	3	3	3	3	3	3	3	3	3	3	6	5
Peak1016022	3	3	6	6	6	3	6	6	6	6	6	6	5
Peak1016023	3	3	6	6	3	3	6	3	6	6	6	6	7
Peak1016068	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1016069	1	1	1	1	1	1	1	1	1	2	3	3	5
Peak1016074	1	1	2	1	1	1	1	1	1	1	1	1	5
Peak1016274	2	2	2	2	2	2	4	4	4	4	4	4	2
Peak1016275	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak1016276	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak1016411	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1016412	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1016441	4	5	5	5	5	5	5	5	5	4	4	4	6
Peak1016442	4	5	5	5	5	5	5	5	5	4	4	4	6
Peak1016592	4	4	4	4	4	4	5	5	5	4	4	4	3
Peak1016593	4	4	4	4	5	5	5	5	5	5	4	4	6
Peak1016594	4	4	4	4	4	5	5	5	5	5	4	4	6
Peak1016595	4	4	4	4	4	5	5	5	5	4	4	4	6
Peak1016604	5	4	5	5	5	5	5	5	5	5	5	5	6
Peak1016642	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak1016655	3	3	3	3	3	3	5	5	5	5	4	4	6
Peak1016656	3	3	3	3	3	3	3	3	5	5	4	4	6
Peak1016679	3	3	3	3	3	3	3	3	3	3	3	6	5
Peak1016680	3	3	3	3	3	3	3	3	3	3	6	6	2
Peak1016681	3	3	3	3	3	3	3	3	3	3	3	6	7
Peak1016724	1	1	1	1	2	4	4	5	5	5	5	5	5
Peak1016725	1	1	1	1	2	4	4	5	5	5	5	4	1
Peak101675	1	1	1	1	1	1	2	4	4	4	4	4	1
Peak101682	4	4	4	4	4	4	4	4	4	4	5	5	3
Peak1016844	4	4	4	4	4	4	4	4	4	2	4	4	3
Peak1017293	3	3	3	3	4	4	4	3	3	3	3	3	3
Peak1017363	5	5	5	5	5	5	6	6	6	5	5	5	6
Peak1017364	5	5	5	5	6	6	6	6	6	5	5	5	6
Peak1017365	5	5	5	5	5	5	6	6	6	5	5	5	6
Peak1017427	3	3	3	3	3	3	3	3	3	5	5	5	6
Peak1017428	3	3	3	3	3	3	3	3	3	3	3	6	2
Peak1017481	5	5	5	5	5	4	4	4	4	4	4	2	6
Peak1017676	6	6	6	3	3	3	3	3	3	3	6	6	6
Peak1017677	6	6	6	3	3	3	3	3	3	3	6	6	4
Peak1017678	6	6	6	3	3	3	3	3	3	3	6	6	7
Peak1017701	4	4	4	5	5	5	5	5	5	5	5	5	6
Peak1017702	4	4	4	5	5	5	5	5	5	5	5	5	6
Peak101776	4	4	4	5	5	5	5	5	5	5	5	5	6
Peak101777	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak101778	4	4	4	5	5	5	5	5	5	5	5	5	6
Peak1017918	1	1	2	2	2	2	2	4	4	4	4	4	2
Peak1017951	2	2	2	2	2	2	2	2	2	2	2	4	7
Peak1018184	5	5	5	3	3	3	3	3	5	5	5	5	6
Peak1018185	3	3	3	3	3	3	3	3	5	5	5	5	6
Peak1018216	2	2	2	2	2	4	4	2	2	2	4	4	2
Peak1018259	5	5	5	5	5	5	5	6	6	6	6	6	6
Peak1018312	3	3	3	3	3	3	3	3	3	3	6	6	1
Peak1018329	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak1018346	5	5	5	5	5	5	5	5	4	4	2	2	6
Peak1018347	5	5	5	5	5	5	5	5	4	4	2	2	6
Peak1018378	4	4	4	4	4	4	4	4	2	2	2	1	3
Peak1018379	4	2	4	4	4	4	4	4	2	2	2	1	3
Peak1018481	3	4	3	3	3	3	3	3	3	3	3	3	3
Peak1018513	3	3	3	3	2	2	2	3	3	3	3	3	7
Peak1018610	5	4	4	4	4	4	4	4	4	4	4	4	3
Peak1018630	5	5	4	4	4	4	4	4	4	5	5	5	3
Peak1018631	5	4	4	4	4	4	4	4	4	5	5	5	3
Peak1018802	2	2	2	2	2	2	4	4	4	4	2	2	2
Peak1018841	6	3	3	5	5	5	5	5	5	5	5	5	6
Peak1018989	4	4	5	5	5	5	5	5	5	5	5	5	6
Peak1018990	4	4	4	4	5	5	5	5	5	5	5	5	6
Peak1019011	4	4	4	4	4	5	5	5	5	5	5	5	3
Peak1019012	2	4	4	4	4	5	5	5	5	5	5	5	6
Peak1019034	5	5	5	5	5	5	5	5	5	5	5	4	6
Peak1019035	5	5	5	5	5	5	5	5	5	5	5	4	6
Peak1019036	5	5	5	5	5	5	5	5	5	5	5	4	6
Peak1019187	2	2	1	1	2	2	2	2	2	2	1	1	7
Peak1019255	5	5	5	5	5	5	6	6	6	6	6	6	6
Peak1019460	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak1019526	4	5	5	5	5	5	5	4	4	4	2	2	6
Peak1019527	4	5	5	5	5	5	5	4	4	4	2	2	6
Peak1019528	5	5	5	5	5	5	5	4	4	4	2	2	6
Peak101958	4	5	5	5	5	5	5	5	5	4	2	2	6
Peak101959	4	5	5	5	5	5	5	5	5	4	4	2	6
Peak1019654	3	3	3	3	3	3	6	6	6	6	6	6	3
Peak1019695	4	5	4	4	4	4	4	4	4	4	4	4	3
Peak1019734	4	4	4	4	4	5	5	5	5	5	4	4	6
Peak1019735	4	4	4	4	4	5	5	5	5	5	4	4	6
Peak1019780	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak1019808	3	3	3	3	3	3	3	3	3	5	5	5	6
Peak1020119	5	5	5	5	5	4	4	4	5	5	5	5	6
Peak1020162	5	5	4	4	4	4	4	4	4	4	4	4	3
Peak1020211	3	3	3	3	3	3	3	3	3	3	3	6	7
